filename,title,slug,status,url_en,url_jp
"00-Post-Archive-Index.md","📂 Post 文档归档索引","(无 slug)","(未推送)","",""
"00-百度营销博客-MOC.md","🗺️ 百度营销博客 — 文章索引","baidu-ad-display-name-update","pushed","","https://baidumarketing.com/ja/blog/baidu-ad-display-name-update"
"2020年百度B2B行业洞察报告.md","2020年百度B2B行业洞察报告","2020-baidu-b2b-industry-insights","pushed","","https://baidumarketing.com/ja/blog/2020-baidu-b2b-industry-insights"
"baidu-marketing-blog-jp.md","百度マーケティングブログ — 全記事コレクション","baidu-ad-display-name-update","pushed","","https://baidumarketing.com/ja/blog/baidu-ad-display-name-update"
"baidu-marketing-blog-ko.md","바이두 마케팅 블로그 — 전 기사 컬렉션","baidu-ads-foreign-business","pushed","","https://baidumarketing.com/ja/blog/baidu-ads-foreign-business"
"baidu-marketing-blog.md","百度营销博客 — 完整文章合集","baidu-brand-zone-generic-keywords","pushed","","https://baidumarketing.com/ja/blog/baidu-brand-zone-generic-keywords"
"bpp-baidu-ad-creation-flow-simplified-en.md","Baidu Streamlines Ad Creation Workflow: 3 Upgrades That Save Time and Improve Creative Quality","(无 slug)","(未推送)","",""
"bpp-baidu-ad-creation-flow-simplified-jp.md","バイデュ、広告作成ワークフローを簡素化——時間短縮とクリエイティブ品質向上の3つのアップグレード","(无 slug)","(未推送)","",""
"bpp-baidu-ad-creation-flow-simplified-ko.md","바이두, 광고 작성 워크플로우 간소화——시간 단축과 소재 품질 향상의 3가지 업그레이드","(无 slug)","(未推送)","",""
"bpp-baidu-ads-campaign-upgrade-2025-en.md","Baidu Ads Campaign Upgrades 2025: What Actually Changed","(无 slug)","(未推送)","",""
"bpp-baidu-ads-campaign-upgrade-2025-jp.md","バイドゥ広告の2025年キャンペーン管理アップグレード：実際に変わった3つのこと","china-internet-numbers-2025","pushed","","https://baidumarketing.com/ja/blog/china-internet-numbers-2025"
"bpp-baidu-ads-campaign-upgrade-2025-ko.md","바이두 광고 캠페인 관리 업그레이드 2025: 실제로 바뀐 3가지","(无 slug)","(未推送)","",""
"bpp-baidu-brand-info-account-level-en.md","Baidu Moves Brand Info to Account Level: Why It Matters for Ad Relevance and CTR","(无 slug)","(未推送)","",""
"bpp-baidu-brand-info-account-level-jp.md","バイデュがブランド情報をアカウントレベルに統合——広告関連性とCTRへの影響とは","(无 slug)","(未推送)","",""
"bpp-baidu-brand-info-account-level-ko.md","바이두, 브랜드 정보를 계정 수준으로 통합——광고 관련성과 CTR에 미치는 영향","(无 slug)","(未推送)","",""
"bpp-baidu-brand-zone-pre-review-en.md","Baidu Brand Zone Adds Material Pre-Review: Catch Compliance Issues Before Submission","(无 slug)","(未推送)","",""
"bpp-baidu-brand-zone-pre-review-jp.md","バイデュブランドゾーンに素材事前審査機能が追加——提出前にコンプライアンス問題を発見","baidu-feed-account-structure","pushed","","https://baidumarketing.com/ja/blog/baidu-feed-account-structure"
"bpp-baidu-brand-zone-pre-review-ko.md","바이두 브랜드존, 소재 사전 심사 기능 추가——제출 전 규정 준수 문제 발견","baidu-feed-ads-explained","pushed","","https://baidumarketing.com/ja/blog/baidu-feed-ads-explained"
"bpp-baidu-conflicting-negative-keywords-en.md","Baidu's New 'Conflicting Negative Keywords' Feature: A Practical Guide","baidu-conflicting-negative-keywords-feature","pushed","https://baidumarketing.com/blog/baidu-conflicting-negative-keywords-feature",""
"bpp-baidu-conflicting-negative-keywords-jp.md","Baiduの新機能「衝突否定キーワード表示」——海外広告主向け実践ガイド","baidu-app-ecosystem","pushed","","https://baidumarketing.com/ja/blog/baidu-app-ecosystem"
"bpp-baidu-conflicting-negative-keywords-ko.md","바이두의 신기능 '충돌 제외 키워드 보기' — 해외 광고주용 실용 가이드","baidu-invalid-click-protection","pushed","","https://baidumarketing.com/ja/blog/baidu-invalid-click-protection"
"bpp-baidu-creative-url-retirement-migration-en.md","Baidu Is Retiring Creative-Level URLs: Migration Guide for Advertisers","baidu-creative-url-retirement-migration","pushed","https://baidumarketing.com/blog/baidu-creative-url-retirement-migration",""
"bpp-baidu-creative-url-retirement-migration-jp.md","Baidu、クリエイティブ層URLの提供終了——広告主向け移行ガイド","baidu-creative-url-retirement-migration","pushed","","https://baidumarketing.com/ja/blog/baidu-creative-url-retirement-migration"
"bpp-baidu-creative-url-retirement-migration-ko.md","바이두, 광고 소재 레벨 URL 제공 종료 — 광고주용 이관 가이드","(无 slug)","(未推送)","",""
"bpp-baidu-custom-form-retirement-en.md","Baidu Retires Custom Form Creative Component: What Advertisers Need to Know","(无 slug)","(未推送)","",""
"bpp-baidu-custom-form-retirement-jp.md","Baidu、カスタムフォームクリエイティブコンポーネントを廃止——広告主が知るべきこと","baidu-app-ecosystem","pushed","","https://baidumarketing.com/ja/blog/baidu-app-ecosystem"
"bpp-baidu-custom-form-retirement-ko.md","바이두, 커스텀 폼 광고 소재 구성요소 종료 — 광고주가 알아야 할 사항","baidu-search-ad-video-format-guide","pushed","","https://baidumarketing.com/ja/blog/baidu-search-ad-video-format-guide"
"bpp-baidu-inactive-keyword-cleanup-2025-en.md","Baidu Is Cleaning Up Inactive Keywords: What Active Advertisers Should Know","baidu-inactive-keyword-cleanup-2025","pushed","https://baidumarketing.com/blog/baidu-inactive-keyword-cleanup-2025",""
"bpp-baidu-inactive-keyword-cleanup-2025-jp.md","Baidu、非アクティブアカウントのキーワードを一括削除へ——広告主が知っておくべきこと","baidu-audience-targeting-guide","pushed","","https://baidumarketing.com/ja/blog/baidu-audience-targeting-guide"
"bpp-baidu-inactive-keyword-cleanup-2025-ko.md","바이두, 비활성 계정 키워드 일괄 삭제 예정 — 광고주가 알아야 할 사항","digital-marketing-china","pushed","","https://baidumarketing.com/ja/blog/digital-marketing-china"
"bpp-baidu-keyword-zero-impression-diagnosis-en.md","Baidu's New Keyword Zero-Impression Diagnosis Tool: What It Does and Who Can Use It","(无 slug)","(未推送)","",""
"bpp-baidu-keyword-zero-impression-diagnosis-jp.md","バイデュの「新・キーワードゼロ表示診断ツール」——機能と使用条件を解説","feed-landing-page-optimization","pushed","","https://baidumarketing.com/ja/blog/feed-landing-page-optimization"
"bpp-baidu-keyword-zero-impression-diagnosis-ko.md","바이두의 '키워드 무표시 진단 도구' 출시——기능과 활용 조건 해설","keyword-research-baidu","pushed","","https://baidumarketing.com/ja/blog/keyword-research-baidu"
"bpp-baidu-search-ads-1-1-desktop-images-en.md","Baidu Search Ads Now Support 1:1 Images on Desktop: A Small Change That Saves Real Budget","baidu-search-ads-1-1-desktop-images","pushed","https://baidumarketing.com/blog/baidu-search-ads-1-1-desktop-images",""
"bpp-baidu-search-ads-1-1-desktop-images-jp.md","Baidu検索広告、1:1画像のPC配信に対応——広告クリエイティブ制作を効率化する小さな変更","baidu-search-ads-1-1-desktop-images","pushed","","https://baidumarketing.com/ja/blog/baidu-search-ads-1-1-desktop-images"
"bpp-baidu-search-ads-1-1-desktop-images-ko.md","바이두 검색광고, 1:1 이미지 PC 게재 지원 — 광고 소재 제작을 간소화하는 작은 변화","(无 slug)","(未推送)","",""
